SymbolID,QuoteDT,Open,Volume
9363,20180829,19.13,1028858
9363,20180830,19.06,1121148
9363,20180831,18.68,662609
9363,20180904,18.11,811326
9363,20180905,18.6,839890
9363,20180906,18.21,739407
9363,20180907,18.14,845102
9363,20180910,18.42,820779
9363,20180911,17.97,1009348
9363,20180912,18.35,1353803
9363,20180913,19.38,1106724
9363,20180914,19.19,1009784
9363,20180917,18.35,5245162
9363,20180918,18.29,3391291
9363,20180919,18.07,2899889
9363,20180920,18.37,2990885
9699,20180817,11.15,477466
9699,20180820,11.23,347278
9699,20180821,11.47,137287
9699,20180822,11.59,85488
9699,20180823,11.32,84485
9699,20180824,11.19,82912
9699,20180827,11.2,192163
9699,20180828,11.09,271296
9699,20180829,11.67,373908
9699,20180830,12.09,181544
9699,20180831,11.87,279497
9699,20180904,12.71,352927
9699,20180905,12.8,142151
9699,20180906,12.57,174613
9699,20180907,13,131147
9699,20180910,12.66,119456
9699,20180911,12.39,134874
9699,20180912,12.68,158488
9699,20180913,12.22,152135
9699,20180914,12.53,158537
9699,20180917,12.9,171570
9699,20180918,12.36,242733
9699,20180919,11.93,535643
9699,20180920,10.59,195915
9778,20180817,22.39,668234
9778,20180820,22.81,348140
9778,20180821,23.2,454238
9778,20180822,23.92,340620
9778,20180823,23.56,567465
9778,20180824,22.5,230720
9778,20180827,22.94,316181
9778,20180828,23.12,511119
9778,20180829,23.35,359356
9778,20180830,23.13,211302
9778,20180831,23.53,295143
9778,20180904,23.09,545561
9778,20180905,23.69,153689
9778,20180906,23.32,253854
9778,20180907,22.25,566078
9778,20180910,22.53,121787
9778,20180911,22.22,533048
9778,20180912,22.4,563097
9778,20180913,21.45,315382
9778,20180914,21.25,338199
9778,20180917,20.58,359010
9778,20180918,20.25,256456
9778,20180919,21,194923
9778,20180920,22.3,202334
10328,20180817,58.13,765102
10328,20180820,58.01,632904
10328,20180821,56.66,394329
10328,20180822,56.81,440217
10328,20180823,55.22,2131948
10328,20180824,55.54,1177005
10328,20180827,55.79,1682536
10328,20180828,56.26,1313798
10328,20180829,57.98,1989681
10328,20180830,59.03,1435992
10328,20180831,58.39,1080581
10328,20180904,60.2,932338
10328,20180905,61.45,1009824
10328,20180906,58.17,696608
10328,20180907,57.66,1009763
10328,20180910,58.71,937142
10328,20180911,61.62,850249
10328,20180912,62.88,580805
10328,20180913,62.81,414789
10328,20180914,62.31,397704
10328,20180917,62.81,1051331
10328,20180918,62.29,541908
10328,20180919,64.07,1822807
10328,20180920,57.8,600914
10402,20180817,5.97,82200
10402,20180820,6.11,45354
10402,20180821,6.06,77245
10402,20180822,6.2,105805
10402,20180823,6.3,83255
10402,20180824,6.2,74421
10402,20180827,6.15,54008
10402,20180828,6.25,140753
10402,20180829,5.89,203268
10402,20180830,5.72,138399
10402,20180831,5.81,250507
10402,20180904,6.23,168646
10402,20180905,5.94,123109
10402,20180906,5.9,101307
10402,20180907,5.87,67042
10402,20180910,5.95,65075
10402,20180911,6.04,118546
10402,20180912,5.89,153809
10402,20180913,5.6966,209373
10402,20180914,5.78,43938
10402,20180917,5.67,91559
10402,20180918,5.8,79544
10402,20180919,5.75,71983
10402,20180920,5.8,199950
10484,20180817,20.06,1889555
10484,20180820,20.41,1274851
10484,20180821,20.56,1947696
10484,20180822,20.51,1402417
10484,20180823,20.55,2222970
10484,20180824,20.73,3248326
10484,20180827,20.75,2284656
10484,20180828,20.54,1628707
10484,20180829,20.54,3000053
10484,20180830,19,13084904
10484,20180831,17.01,7299879
10484,20180904,16.65,6030360
10484,20180905,16.18,4115515
10484,20180906,16.01,3239819
10484,20180907,16.35,4712926
10484,20180910,16.57,5122557
10484,20180911,17.34,3101090
10484,20180912,17.19,2258243
10484,20180913,17.45,1881869
10484,20180914,17.16,3135340
10484,20180917,17.26,3381251
10484,20180918,16.72,2872821
10484,20180919,16.69,2644884
10484,20180920,16.34,1912333
10831,20180817,12.58,157622
10831,20180820,12.19,129196
10831,20180821,13,180322
10831,20180822,12.34,108112
10831,20180823,13.05,89500
10831,20180824,12.79,55644
10831,20180827,13.19,157569
10831,20180828,13.52,82531
10831,20180829,13.67,105694
10831,20180830,13.76,120033
10831,20180831,13.78,51333
10831,20180904,13.9,59766
10831,20180905,14.55,179570
10831,20180906,13.76,125310
10831,20180907,13.26,62920
10831,20180910,13.79,85789
10831,20180911,14,118986
10831,20180912,14.22,110027
10831,20180913,14.05,136964
10831,20180914,14.05,100006
10831,20180917,15.5,921148
